sigla_uf,sexo,grau_instrucao,faixa_etaria,media_salarial
AC,02,11,0-17,10713.15111111111
AL,01,01,61-80,2076.8630604288496
AL,02,01,18-25,1642.5485937500002
AL,01,01,0-17,9552.18
AL,02,01,36-45,1612.7637847222225
AL,01,01,36-45,1790.5719697903828
AL,02,01,46-60,1969.7624897959186
AL,01,01,81+,3762.28
AL,02,01,0-17,614.44
AL,02,01,61-80,2872.0750413223132
AL,01,01,46-60,1781.5637319468508
AL,01,01,26-35,1670.1693749999995
AL,01,01,18-25,1345.6161213720316
AL,02,01,26-35,1856.7498039215689
AL,01,02,36-45,1919.8558804773613
AL,01,02,26-35,1742.6607702636718
AL,02,02,18-25,1440.9286206896547
AL,02,02,81+,2245.6866666666665
AL,01,02,18-25,1501.034853523357
AL,02,02,26-35,1527.9414406779656
AL,02,02,61-80,1879.3104938271604
AL,01,02,0-17,783.87428571428563
AL,01,02,81+,2587.31
AL,02,02,36-45,1609.6059101941751
AL,02,02,46-60,1804.6648343986058
AL,01,02,61-80,2331.3257549857553
AL,02,02,0-17,635.986
AL,01,02,46-60,2003.8887382589323
AL,02,03,61-80,2094.0703125000005
AL,01,03,36-45,2002.289910594546
AL,02,03,46-60,2027.6107595993333
AL,02,03,36-45,2020.7917100977204
AL,01,03,61-80,2613.8372239263808
AL,01,03,0-17,866.86200000000008
AL,01,03,18-25,1511.4070554272512
AL,02,03,18-25,1310.7875
AL,01,03,26-35,1745.8955702678306
AL,02,03,0-17,917.76
AL,02,03,81+,1106.355
AL,01,03,46-60,2099.4184942084944
AL,02,03,26-35,1887.4560586319226
AL,02,04,26-35,1510.7561751824815
AL,01,04,18-25,1506.861224195871
AL,02,04,0-17,764.15804469273735
AL,02,04,61-80,2216.18936111111
AL,02,04,36-45,1625.912471910113
AL,01,04,0-17,764.36895833333347
AL,01,04,46-60,2180.8797184312589
AL,02,04,46-60,1785.8676577017116
AL,01,04,26-35,1797.7805171130956
AL,01,04,36-45,1993.5876310873084
AL,02,04,18-25,1214.9887128712869
AL,01,04,61-80,2599.2386226415088
AL,02,04,81+,1452.45
AL,01,04,81+,2399.5025
AL,01,05,61-80,2757.2515414761592
AL,01,05,26-35,1736.9163625344352
AL,02,05,81+,1665.905
AL,01,05,36-45,1945.8918504531721
AL,02,05,36-45,1652.6340241397018
AL,02,05,46-60,1950.3545329038197
AL,02,05,26-35,1551.2580386473435
AL,02,05,61-80,2518.8000943396232
AL,01,05,81+,1672.274
AL,02,05,18-25,1420.4639073359074
AL,01,05,0-17,1156.1195714285709
AL,01,05,18-25,1526.0030076860844
AL,01,05,46-60,2158.9530021165187
AL,02,05,0-17,986.65675675675675
AL,01,06,36-45,2212.8035997336
AL,02,06,46-60,2146.3455796743951
AL,01,06,26-35,1875.6557025626262
AL,02,06,26-35,1705.3400156168668
AL,01,06,81+,3048.2866666666669
AL,02,06,0-17,733.05902004454379
AL,01,06,46-60,2807.8963582594006
AL,02,06,36-45,1816.6432564705883
AL,02,06,18-25,1153.6192927864215
AL,01,06,18-25,1418.8056985408259
AL,02,06,61-80,2841.4593281653742
AL,02,06,81+,2403.22
AL,01,06,61-80,3663.2093571428572
AL,01,06,0-17,793.39801470588259
AL,01,07,36-45,2256.9493005808326
AL,01,07,81+,3226.4578125000003
AL,01,07,0-17,1653.5754562737643
AL,01,07,61-80,3450.7449596774195
AL,02,07,26-35,1701.2712951382268
AL,02,07,61-80,3013.7280938063745
AL,02,07,81+,2102.8234615384613
AL,02,07,36-45,1929.3597462899754
AL,01,07,18-25,1496.7093194984107
AL,02,07,18-25,1411.4256298631947
AL,01,07,26-35,1898.8725404688985
AL,01,07,46-60,2584.4209581007558
AL,02,07,46-60,2277.1470032407237
AL,02,07,0-17,1547.6037762237754
AL,01,08,0-17,2907.8944186046519
AL,02,08,18-25,1701.04077607114
AL,02,08,26-35,2392.5957420735258
AL,01,08,26-35,3170.9660100903939
AL,02,08,0-17,1747.5849999999998
AL,01,08,81+,3200.1800000000003
AL,02,08,36-45,3202.1867365745165
AL,01,08,36-45,5206.755322095124
AL,01,08,61-80,12162.072440944881
AL,01,08,46-60,7551.1810285455349
AL,02,08,61-80,6383.7667237163823
AL,02,08,46-60,4264.9259990791888
AL,01,08,18-25,1875.9950107991363
AL,02,09,81+,2963.4107142857147
AL,01,09,61-80,10425.828157817543
AL,01,09,26-35,4244.2402119297158
AL,02,09,18-25,2347.2781113195747
AL,02,09,46-60,5535.8778320580714
AL,01,09,18-25,2627.9012718600952
AL,01,09,0-17,7282.1983529411764
AL,02,09,26-35,3229.6191617428058
AL,02,09,36-45,4324.5369364049575
AL,01,09,81+,8699.1559259259247
AL,01,09,46-60,8501.0767802676655
AL,01,09,36-45,6266.6489631010518
AL,02,09,61-80,6760.1573573443238
AL,02,09,0-17,3469.7674038461546
AL,01,10,46-60,10436.6207591623
AL,01,10,26-35,5903.625357142856
AL,01,10,0-17,2715.0666666666666
AL,01,10,61-80,11251.351156462586
AL,02,10,46-60,7845.4127692307684
AL,01,10,36-45,9968.61156286721
AL,01,10,18-25,1523.1
AL,02,10,26-35,4828.1903429602917
AL,02,10,0-17,9825.73
AL,02,10,18-25,1577.9885714285715
AL,02,10,36-45,6990.2333969118972
AL,02,10,61-80,9704.67375
AL,02,10,81+,672.42
AL,02,11,61-80,11007.932521739132
AL,01,11,61-80,15360.530892857143
AL,01,11,26-35,9700.5850641025645
AL,01,11,0-17,6541.285
AL,02,11,18-25,1609.64
AL,01,11,46-60,12969.88029748284
AL,02,11,36-45,8593.6550872483222
AL,02,11,46-60,8718.2195567867057
AL,01,11,18-25,2011.0
AL,01,11,36-45,12004.736576576579
AL,01,11,81+,12807.763333333334
AL,02,11,26-35,6013.3292708333311
AM,02,01,26-35,1934.5556097560973
AM,02,01,0-17,853.2725
AM,01,01,36-45,1934.4773484848481
AM,02,01,18-25,1629.7851923076923
AM,02,01,46-60,1852.7078620689656
AM,01,01,18-25,1523.8181111111114
AM,01,01,46-60,2027.3992481203006
AM,02,01,36-45,2211.24785123967
AM,02,01,61-80,3292.3528813559319
AM,01,01,81+,1350.67
AM,01,01,61-80,2324.6095967741935
AM,01,01,26-35,1861.1962272727278
AM,01,01,0-17,877.77199999999993
AM,02,01,81+,1576.02
AM,01,02,26-35,1768.1506734006741
AM,01,02,18-25,1484.3750719424459
AM,02,02,81+,1714.0455555555554
AM,02,02,26-35,1542.105441176471
AM,02,02,46-60,1934.734560632689
AM,01,02,36-45,2051.0393749999994
AM,02,02,36-45,1572.6219905213279
AM,01,02,61-80,2830.3190054644811
AM,01,02,46-60,2431.9886416184981
AM,02,02,18-25,1435.1492857142857
AM,01,02,81+,1273.4988888888888
AM,02,02,61-80,2481.1541095890411
AM,02,02,0-17,808.9466666666666
AM,01,02,0-17,1431.1099999999997
AM,01,03,81+,2185.725
AM,01,03,26-35,1793.1573414304994
AM,02,03,0-17,624.05714285714282
AM,01,03,46-60,2282.9519411057704
AM,02,03,61-80,2354.489661016949
AM,02,03,18-25,1421.0034117647056
AM,02,03,81+,1943.1299999999999
AM,02,03,46-60,1806.7249791231725
AM,01,03,18-25,1486.9040860215059
AM,01,03,61-80,2864.1775462962964
AM,01,03,0-17,631.5025
AM,01,03,36-45,2081.0278534031409
AM,02,03,36-45,1586.3371523178812
AM,02,03,26-35,1535.7019072164949
AM,02,04,0-17,713.99660714285721
AM,01,04,26-35,1839.8148831615115
AM,02,04,36-45,1591.7114285714285
AM,01,04,18-25,1491.95151214128
AM,02,04,26-35,1460.8909933774833
AM,02,04,46-60,1949.0338579654508
AM,02,04,18-25,1330.1740372670806
AM,02,04,81+,2122.2644444444445
AM,01,04,36-45,2076.0313050944469
AM,01,04,46-60,2480.6197632693752
AM,01,04,61-80,2855.9019613821147
AM,02,04,61-80,2526.4348129251689
AM,01,04,81+,1831.8425000000002
AM,01,04,0-17,742.0767119565221
AM,01,05,46-60,2979.6258948670379
AM,01,05,0-17,1731.8186259541983
AM,01,05,26-35,1912.0462836486693
AM,02,05,46-60,2120.3006633461619
AM,01,05,18-25,1535.2601225854389
AM,02,05,36-45,1840.3008057142861
AM,02,05,61-80,2741.0694058408849
AM,01,05,81+,1617.3575
AM,01,05,36-45,2230.4448502912887
AM,02,05,18-25,1457.2608068459656
AM,02,05,26-35,1812.2574619990787
AM,01,05,61-80,3279.4677494577004
AM,02,05,0-17,954.44164705882361
AM,02,05,81+,1461.3899999999999
AM,01,06,61-80,3354.5248158640234
AM,01,06,18-25,1309.1484466019417
AM,02,06,46-60,2089.4104249999991
AM,01,06,26-35,1929.2634191516947
AM,01,06,81+,2383.8266666666668
AM,01,06,46-60,2723.4058502847838
AM,01,06,0-17,744.35282855597632
AM,02,06,18-25,1056.4990042861853
AM,01,06,36-45,2207.2143649535888
AM,02,06,26-35,1671.1446041412898
AM,02,06,61-80,2777.3266666666668
AM,02,06,36-45,1731.7048206388208
AM,02,06,81+,1703.23
AM,02,06,0-17,710.59550325850807
AM,01,07,26-35,2201.4202053802937
AM,01,07,81+,4280.1206666666676
AM,02,07,0-17,2523.8394999999991
AM,01,07,18-25,1681.9304311061323
AM,02,07,46-60,2623.9039381733487
AM,02,07,36-45,2230.357858405604
AM,01,07,46-60,3309.2552749067227
AM,02,07,81+,3838.6783333333337
AM,01,07,36-45,2824.9638018115293
AM,02,07,61-80,3913.0983811357078
AM,02,07,26-35,1946.4280879487146
AM,01,07,0-17,3488.6320264900646
AM,02,07,18-25,1589.4636062327179
AM,01,07,61-80,4085.53136606588
AM,02,08,18-25,2075.4540195061218
AM,01,08,61-80,8087.8151004016081
AM,02,08,36-45,3559.6993359655412
AM,02,08,26-35,2832.7172530627868
AM,01,08,0-17,4177.522195121951
AM,01,08,36-45,5249.4833704292514
AM,02,08,0-17,3812.6232432432435
AM,02,08,46-60,4075.7858478715975
AM,01,08,26-35,3664.0738532448372
AM,01,08,46-60,6341.7189704209322
AM,02,08,61-80,6018.8544642857132
AM,01,08,18-25,2327.2896463796
AM,02,08,81+,2149.0950000000003
AM,01,09,0-17,5952.2837837837842
AM,02,09,81+,8136.7264285714291
AM,02,09,26-35,4228.8941099522717
AM,02,09,0-17,5144.0354823889747
AM,01,09,81+,11984.8095
AM,01,09,46-60,9166.8091607396836
AM,01,09,18-25,3099.933964373035
AM,01,09,61-80,11725.108796275264
AM,02,09,61-80,8617.122358471288
AM,01,09,36-45,7954.6432388830681
AM,02,09,46-60,6231.6576772914414
AM,02,09,36-45,5543.9280343670289
AM,02,09,18-25,2717.2761341772152
AM,01,09,26-35,5438.80269324377
AM,02,10,81+,7640.97
AM,01,10,81+,1900.95
AM,01,10,46-60,13752.580406290956
AM,01,10,36-45,12169.661224970549
AM,01,10,26-35,8475.1536880733947
AM,02,10,46-60,9752.9059999999972
AM,01,10,18-25,2012.525
AM,01,10,61-80,12561.122451612902
AM,02,10,26-35,7014.05239215686
AM,02,10,61-80,12987.254174757283
AM,01,10,0-17,20138.224
AM,02,10,36-45,9183.7170098576171
AM,02,10,18-25,2511.709375
AM,02,10,0-17,5580.7875
AM,02,11,46-60,14421.588519417475
AM,01,11,26-35,9626.52366197183
AM,02,11,26-35,7647.361
AM,01,11,46-60,16055.72792207792
AM,02,11,18-25,2738.1966666666667
AM,02,11,36-45,10992.285359477128
AM,01,11,0-17,14927.133333333333
AM,02,11,0-17,5453.7366666666667
AM,02,11,61-80,18132.803285714279
AM,01,11,18-25,3406.2966666666666
AM,01,11,81+,12013.436666666666
AM,01,11,36-45,12914.245082644627
AM,01,11,61-80,17634.912454545451
AP,02,01,26-35,2937.5022535211278
AP,02,01,46-60,2669.1053913043479
AP,02,01,61-80,2154.8826086956524
AP,01,01,61-80,2046.6936842105267
AP,02,01,36-45,2603.014206896552
AP,02,01,18-25,2805.5582022471904
AP,01,01,0-17,2296.1966666666667
AP,01,01,26-35,2969.6065641025639
AP,01,01,36-45,2208.7979638009042
AP,01,01,46-60,2248.28955882353
AP,01,01,18-25,2105.4914705882361
AP,01,02,46-60,2100.3147884615391
AP,01,02,36-45,1892.02471810089
AP,02,02,61-80,2431.1792500000006
AP,02,02,46-60,1686.1236320754713
AP,01,02,18-25,1635.8167021276595
