Renda_Total,log_renda,Sexo,Cor_Raca,UF,Escolaridade_Num,Escolaridade_Label,Idade,Setor_Economico,Area_Atuacao,Faixa_Etaria
2111140.0,14.56273911758901,Masculino,Branca,Rondônia,8.0,Superior incompleto,43,Desconhecido,,36-45
2111130.0,14.562734380802748,Feminino,Branca,Rondônia,7.0,Médio completo,51,Desconhecido,,46-60
40.0,3.713572066704308,Masculino,Parda,Rondônia,7.0,Médio completo,51,Desconhecido,,46-60
1150.0,7.048386408721883,Feminino,Branca,Rondônia,12.0,Doutorado incompleto,70,Desconhecido,Serviços,61-80
1130.0,7.030857476116121,Feminino,Parda,Rondônia,13.0,Doutorado completo,37,Desconhecido,Serviços,36-45
2111140.0,14.56273911758901,Masculino,Branca,Rondônia,7.0,Médio completo,69,Desconhecido,,61-80
1111160.0,13.920915972614125,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,44,Desconhecido,,36-45
40.0,3.713572066704308,Masculino,Parda,Rondônia,7.0,Médio completo,38,Desconhecido,Comércio,36-45
2111130.0,14.562734380802748,Masculino,Preta,Rondônia,7.0,Médio completo,50,Desconhecido,,46-60
1140.0,7.039660349862076,Feminino,Parda,Rondônia,13.0,Doutorado completo,54,Desconhecido,Serviços,46-60
50.0,3.9318256327243257,Feminino,Parda,Rondônia,7.0,Médio completo,52,Desconhecido,Agricultura,46-60
2111150.0,14.562743854352833,Masculino,Branca,Rondônia,7.0,Médio completo,42,Desconhecido,,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,7.0,Médio completo,52,Desconhecido,Comércio,46-60
1150.0,7.048386408721883,Feminino,Parda,Rondônia,13.0,Doutorado completo,56,Desconhecido,Serviços,46-60
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,7.0,Médio completo,62,Desconhecido,,61-80
1150.0,7.048386408721883,Feminino,Parda,Rondônia,13.0,Doutorado completo,40,Desconhecido,Serviços,36-45
1150.0,7.048386408721883,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,68,Desconhecido,Serviços,61-80
20.0,3.044522437723423,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,19,Desconhecido,Comércio,18-25
1150.0,7.048386408721883,Feminino,Branca,Rondônia,12.0,Doutorado incompleto,64,Desconhecido,Serviços,61-80
2121150.0,14.5674694238463,Masculino,Branca,Rondônia,7.0,Médio completo,63,Desconhecido,,61-80
20.0,3.044522437723423,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,22,Desconhecido,Comércio,18-25
60.0,4.110873864173311,Masculino,Branca,Rondônia,12.0,Doutorado incompleto,35,Desconhecido,Comércio,26-35
2.0,1.0986122886681098,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,20,Desconhecido,Comércio,18-25
1140.0,7.039660349862076,Feminino,Branca,Rondônia,12.0,Doutorado incompleto,53,Desconhecido,Serviços,46-60
1.0,0.6931471805599453,Feminino,Parda,Rondônia,,,14,Desconhecido,,0-17
2121160.0,14.567474138256744,Feminino,Parda,Rondônia,,,31,Desconhecido,,26-35
