Idade,Escolaridade_Num,Sexo,Cor_Raca,UF,Area_Atuacao,log_renda_real,log_renda_prevista
52,9.319762933421956,0,3,22,5,0.6931471805599453,6.667387968311553
69,8.0,1,3,2,4,7.057036981697891,6.205154136058152
30,12.0,0,4,4,2,3.044522437723423,3.074630741008395
60,10.0,0,1,8,1,4.394449154672439,3.0397400872259936
51,12.0,1,3,2,3,7.057036981697891,7.0535044105859654
28,10.0,0,1,18,4,3.044522437723423,4.363398827022302
27,13.0,1,1,13,0,14.007073448457716,6.806161318148184
18,10.0,1,1,5,5,0.6931471805599453,3.80523390946
38,10.0,1,1,7,5,16.213406285307997,13.963828422451252
29,10.0,0,1,14,1,3.044522437723423,3.529448756620178
15,9.319762933421956,0,3,14,5,1.0986122886681098,0.8308122386938129
34,9.319762933421956,1,3,14,2,3.9318256327243257,2.701856979351893
29,10.0,1,3,15,2,4.574710978503383,1.9688705531047983
15,7.0,1,3,24,5,0.6931471805599453,9.668632133469606
24,10.0,0,3,22,2,1.0986122886681098,3.2462865907393903
24,10.0,1,3,26,2,1.0986122886681098,3.0012296747429605
23,10.0,0,3,5,5,0.6931471805599453,0.9327899199168835
21,10.0,0,3,14,5,0.6931471805599453,0.945186096973808
25,10.0,1,3,3,2,3.044522437723423,3.0473797408625085
38,10.0,1,1,17,2,3.044522437723423,3.6379603558598155
23,9.319762933421956,0,3,3,5,0.6931471805599453,0.8201929144338368
48,12.0,0,3,26,5,0.6931471805599453,10.197136264956086
54,7.0,1,3,17,2,2.5649493574615367,4.256263596343629
15,9.319762933421956,0,3,4,5,0.6931471805599453,0.9415959255532226
32,10.0,0,3,9,5,0.6931471805599453,0.8328259351148628
38,7.0,0,3,24,5,0.6931471805599453,0.8437634321840952
44,10.0,1,1,18,2,3.044522437723423,2.4759359213202243
48,10.0,0,3,1,5,0.6931471805599453,3.2015708293387517
47,9.319762933421956,1,3,26,5,14.567459994958734,11.831539637787136
38,12.0,0,4,25,2,3.044522437723423,2.2039629901907474
14,9.319762933421956,0,4,16,5,1.0986122886681098,1.4180304366356526
42,13.0,0,3,6,3,7.057036981697891,7.054932990165797
27,10.0,0,1,20,5,1.0986122886681098,5.172725584144007
30,10.0,0,3,11,4,3.044522437723423,3.4373177407862143
27,10.0,0,3,3,5,0.6931471805599453,1.139681296134869
65,6.0,1,1,18,4,7.048386408721883,6.721524677617703
31,9.319762933421956,0,3,9,5,0.6931471805599453,2.9484771776241603
36,12.0,0,1,2,3,7.048386408721883,7.0501095771522015
22,10.0,1,3,5,5,0.6931471805599453,10.506519286087688
45,7.0,0,3,17,5,0.6931471805599453,1.153062857822195
32,7.0,0,3,4,5,1.0986122886681098,0.9263725064763136
20,9.319762933421956,0,3,24,5,0.6931471805599453,0.7484255902986924
37,10.0,1,3,9,5,3.044522437723423,7.096692368019813
43,14.0,0,1,14,4,7.048386408721883,6.464853251173964
24,9.319762933421956,0,1,26,5,0.6931471805599453,1.2854107811624007
38,12.0,1,1,23,4,7.057036981697891,7.041572585684837
58,12.0,0,3,26,4,7.048386408721883,6.93306563105666
20,10.0,0,3,13,2,1.0986122886681098,3.0408856148351027
55,7.0,0,0,1,5,0.6931471805599453,1.0524616146260126
48,13.0,0,3,9,4,7.099201743553092,6.388192768319539
66,6.0,1,3,21,5,1.0986122886681098,11.812852703561843
54,7.0,1,1,8,2,4.02535169073515,2.5832150824569964
17,10.0,0,1,1,5,0.6931471805599453,1.0414437805168923
46,8.0,1,1,16,5,0.6931471805599453,10.617330692124794
29,10.0,0,3,7,2,3.044522437723423,3.640482352695405
14,9.319762933421956,0,3,4,5,0.6931471805599453,0.7233639850451496
31,10.0,0,4,18,2,3.044522437723423,3.109950880348686
39,10.0,1,3,7,5,3.044522437723423,8.917592827184073
47,12.0,0,3,2,4,7.057036981697891,7.048115630638227
68,12.0,1,3,1,4,3.044522437723423,4.567889420434247
20,10.0,0,3,16,2,3.044522437723423,3.036924436081471
40,10.0,1,1,13,5,14.562734380802748,10.077228752647734
23,10.0,0,1,12,2,1.6094379124341005,2.0808760499046137
38,7.0,1,4,10,1,1.0986122886681098,2.572821565138055
53,7.0,1,1,4,5,14.775286359224976,12.997362905382895
57,13.0,1,4,9,4,7.065613363597717,7.0507867416214545
18,9.319762933421956,0,3,21,5,0.6931471805599453,6.214804265343763
32,12.0,0,3,12,4,7.023758954738443,6.911856694876867
20,10.0,1,3,9,5,0.6931471805599453,6.516811282568924
20,10.0,1,1,22,2,3.044522437723423,3.3875842946139847
56,9.319762933421956,1,3,0,5,14.567450565982265,11.539609430619231
44,12.0,0,3,22,2,3.044522437723423,2.8967279443139926
45,7.0,0,1,25,2,3.044522437723423,3.712320617306318
26,10.0,1,3,1,2,4.394449154672439,1.6615450195146184
65,5.0,0,1,16,5,1.0986122886681098,1.3331563469895484
44,11.0,1,4,14,5,0.6931471805599453,4.56783101881137
29,10.0,0,3,7,2,1.0986122886681098,3.640482352695405
34,9.319762933421956,0,1,13,4,7.030857476116121,6.737306195386521
51,9.319762933421956,1,3,9,5,14.65758235768272,12.20909926299217
49,14.0,1,1,6,3,7.065613363597717,7.0653825918957525
62,10.0,0,3,3,4,7.039660349862076,7.03939168133657
